movie_ID,title,rating,genres,poster_path
187,The Blues Brothers,7.742,Musical|Comedy|Action|Crime,The Blues Brothers.jpg
188,Evil Dead II,7.5,Horror|Comedy|Fantasy,Evil Dead II.jpg
189,A Quiet Place,7.398,Horror|Drama|Sci-Fi,A Quiet Place.jpg
190,Despicable Me 4,0.0,Animation|Children|Comedy|Action,Despicable Me 4.jpg
191,Jackie,6.445,Drama,Jackie.jpg
192,Land of Bad,7.299,Action|Thriller|War,Land of Bad.jpg
193,Damsel,7.13,Fantasy|Action|Adventure,Damsel.jpg
194,Fight Club,8.441,Drama,Fight Club.jpg
195,The Watchers,5.133,Horror|Mystery|Thriller,The Watchers.jpg
196,The Lion King,7.114,Adventure|Drama|Children|Animation,The Lion King.jpg
197,Wish,6.443,Animation|Children|Fantasy|Adventure,Wish.jpg
198,HAIKYU!! The Dumpster Battle,7.593,Animation|Drama,HAIKYU!! The Dumpster Battle.jpg
199,Oh God! Book II,5.167,Fantasy|Comedy,Oh God! Book II.jpg
200,Island Escape,4.2,Horror|Action|Sci-Fi,Island Escape.jpg
201,After the Pandemic,4.806,Sci-Fi|Action,After the Pandemic.jpg
202,New Golden Lotus III,6.4,Drama|Romance,New Golden Lotus III.jpg
203,The Equalizer 3,7.349,Action|Thriller|Crime,The Equalizer 3.jpg
204,The Grey,6.564,Drama|Thriller|Action|Adventure,The Grey.jpg
205,Saw X,7.282,Horror|Thriller,Saw X.jpg
206,Spitfire Over Berlin,5.064,War|Action|History,Spitfire Over Berlin.jpg
207,Manhattan,7.742,Comedy|Drama|Romance,Manhattan.jpg
208,Predators,6.257,Sci-Fi|Action|Thriller,Predators.jpg
209,Hunted,5.4,Action|Mystery|Thriller|Horror|Crime|Drama,Hunted.jpg
210,The Creator,7.102,Action|Adventure|Sci-Fi,The Creator.jpg
211,The General,7.966,Comedy|Action|Adventure|War,The General.jpg
212,Black Panther: Wakanda Forever,7.126,Action|Adventure|Sci-Fi,Black Panther_ Wakanda Forever.jpg
213,Metropolis,8.138,Drama|Sci-Fi,Metropolis.jpg
214,The Rock,7.13,Action|Adventure|Thriller,The Rock.jpg
215,Transformers: Rise of the Beasts,7.33,Action|Adventure|Sci-Fi,Transformers_ Rise of the Beasts.jpg
216,Creed III,7.131,Drama|Action,Creed III.jpg
217,Cop Land,6.783,Crime|Drama|Mystery,Cop Land.jpg
218,Ex Machina,7.573,Drama|Sci-Fi,Ex Machina.jpg
219,The Hunt,6.648,Action|Thriller|Horror,The Hunt.jpg
220,Bumblebee,6.723,Action|Adventure|Sci-Fi,Bumblebee.jpg
221,A Part of You,6.8,Drama,A Part of You.jpg
222,The Gigolo,4.833,Romance|Drama|Comedy,The Gigolo.jpg
223,Rise of the Planet of the Apes,7.318,Thriller|Action|Drama|Sci-Fi,Rise of the Planet of the Apes.jpg
224,Vampiras: The Brides,6.4,Horror|Fantasy|Action|Mystery,Vampiras_ The Brides.jpg
225,GoodFellas,8.463,Drama|Crime,GoodFellas.jpg
226,Rocky V,5.776,Drama,Rocky V.jpg
227,The Big Sleep,7.6,Mystery|Crime|Thriller,The Big Sleep.jpg
228,Hustlers,6.479,Drama|Comedy|Crime,Hustlers.jpg
229,Geostorm,6.118,Action|Sci-Fi|Thriller,Geostorm.jpg
230,The Super Mario Bros. Movie,7.673,Animation|Children|Adventure|Fantasy|Comedy,The Super Mario Bros. Movie.jpg
